timestamp,cpu,ram,tx_bytes,rx_bytes
1605182826815667108,13.13,40.6096,333276540573,165464229361
1605182827229696981,13.13,40.6018,333276575695,165464250440
1605182827647159841,18.63,40.5936,333276619333,165464273761
1605182828061030148,18.63,40.6049,333276673370,165464302948
1605182828474878769,13.68,40.6092,333276709187,165464324458
1605182828888214665,12.5,40.6016,333276742175,165464345793
1605182829303311986,12.5,40.6039,333276800376,165464373536
1605182829716788576,17.48,40.599,333276840723,165464398118
1605182830129684427,17.48,40.5955,333276879313,165464420151
1605182830543387342,13.73,40.6018,333276929761,165464443107
1605182830958144001,18.45,40.5957,333276979532,165464473108
1605182831371065386,18.45,40.5955,333277011002,165464493352
1605182831785514409,14.42,40.6031,333277046665,165464514898
1605182832199132028,14.42,40.601,333277102141,165464543196
1605182832613170828,14.85,40.5955,333277143328,165464567052
1605182833026335730,16.16,40.5985,333277177349,165464587995
1605182833441049411,16.16,40.5992,333277232732,165464614851
1605182833854468061,11.34,40.6,333277275509,165464641095
1605182834268032941,11.34,40.6031,333277314050,165464663090
1605182834686617664,34.34,40.6799,333277351975,165464688785
1605182835100318927,34.34,41.9424,333277411338,165464719206
1605182835518173509,66,41.9472,333277463060,165464749777
1605182835937355939,57.43,45.5715,333277501162,165464773387
1605182836361854791,57.43,40.8483,333277562537,165464804048
1605182836789180849,87.13,42.799,333277603982,165464830538
1605182837210733403,87.13,43.4796,333277637375,165464852701
1605182837639861642,99.02,43.5181,333277683809,165464876427
1605182838059377692,99,43.1093,333277824282,165464916236
1605182838485165695,99,43.1777,333277861888,165464938120
1605182838907421380,94,45.1381,333277901578,165464963595
1605182839331593482,94,45.3926,333277960661,165464992622
1605182839758309112,100,45.5073,333278025009,165465039760
1605182840184036666,100,45.5094,333278082856,165465092543
1605182840605233254,94,45.8118,333278212830,165465212886
1605182841030964142,85.15,45.9403,333278395361,165465414831
1605182841449427785,85.15,45.9381,333278524478,165465538002
1605182841864742658,41.24,45.9719,333278698357,165465702849
1605182842279696290,41.24,45.9772,333278759459,165465747286
1605182842693950690,27,45.977,333278805063,165465786287
1605182843107502575,21.21,45.977,333278841884,165465821364
1605182843521490264,21.21,45.9746,333278903904,165465864161
1605182843935037298,17.17,45.9717,333278951559,165465905141
1605182844350735782,17.17,45.9717,333278990529,165465942155
1605182844764956968,10.75,45.9784,333279034451,165465978357
1605182845179664729,10.75,45.9809,333279096693,165466023109
1605182845595495502,13.68,45.977,333279144164,165466062588
1605182846010322223,15.96,45.9764,333279184726,165466099563
1605182846424588540,15.96,45.9817,333279247333,165466141558
1605182846838810436,15.79,45.9809,333279292922,165466182686
1605182847253705487,15.79,45.9733,333279331856,165466218795
1605182847672154223,14.29,45.9664,333279380068,165466257582
1605182848090185021,16.49,45.9856,333279442969,165466302109
1605182848504042312,16.49,45.984,333279482096,165466340061
1605182848918111658,14.74,45.9916,333279524065,165466375844
1605182849339760231,14.74,45.9684,333279583295,165466420064
1605182849754351173,15.96,45.9748,333279628210,165466460272
1605182850174107911,13.83,45.9809,333279668782,165466496623
1605182850597209996,11.7,45.9786,333279731151,165466538599
1605182851012697000,15.62,45.9778,333279776381,165466579834
1605182851426211335,15.62,45.9778,333279815080,165466616998
1605182851841741025,26.88,45.9844,333279853532,165466653474
1605182852256418204,26.88,45.9969,333279915629,165466698167
1605182852671105294,15.96,46.0022,333279960840,165466736667
1605182853084574128,15.96,46.0067,333280000327,165466772785
1605182853498477904,15.96,46.002,333280060821,165466815385
1605182853912935492,12.63,46.0223,333280106294,165466856494
1605182854327429184,12.63,46.0157,333280149016,165466893318
1605182854740854877,18.18,46.0096,333280188753,165466929188
1605182855156938947,19.19,46.0073,333280246506,165466973335
1605182855573784774,19.19,46.0164,333280292108,165467012701
1605182855987445271,11.83,46.0098,333280335299,165467049476
1605182856403011875,11.83,46.0151,333280392225,165467091056
1605182856818856457,20,46.0172,333280435616,165467130600
1605182857235861021,20,46.0112,333280480080,165467168955
1605182857657682101,18.63,46.0026,333280523853,165467210492
1605182858074951675,24.04,46.0174,333280591337,165467258433
1605182858489692676,24.04,46.0098,333280636655,165467297668
1605182858904388043,12.77,46.0143,333280678989,165467332457
1605182859322403487,12.77,46.002,333280743569,165467376344
1605182859738250405,14.89,46.0102,333280791268,165467417202
1605182860151879516,18.75,46.0096,333280834085,165467453603
1605182860570985694,18.75,46.008,333280887215,165467492414
1605182860987390939,18.18,46.0141,333280940840,165467536834
1605182861402107252,18.18,46.0149,333280994503,165467577112
1605182861818028039,14.58,46.0067,333281047007,165467615526
1605182862233695961,18.56,46.0172,333281098685,165467653999
1605182862652007222,18.56,46.0096,333281151240,165467692759
1605182863067270818,13.83,46.0036,333281199824,165467731420
1605182863482798197,13.83,46.0086,333281250646,165467768180
1605182863898064868,13.68,46.0219,333281299156,165467805157
1605182864312969098,13.68,46.0082,333281347294,165467842525
1605182864727929028,16.33,46.0127,333281394002,165467881700
1605182865146123644,19.19,46.0133,333281444110,165467919957
1605182865562003237,19.19,46.0118,333281495788,165467957633
1605182865977042011,15.46,46.0036,333281541491,165467995256
